@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
555               39.423249      77.247585
556               21.511901      93.034130
557               56.636016      54.995591
558               55.263581      56.980200
559               44.791549      70.967468
560               29.755155      86.815406
561               47.347725      67.754720
562               44.470689      71.360890
563               39.931840      76.680853
564               49.098175      65.476481
565               39.986392      76.619708
566               46.623875      68.678474
567               49.881167      64.437497
568               25.020941      90.615334
569               49.051290      65.538321
570               63.184666      45.111639
571               33.576540      83.314774
572               43.684165      72.315816
573               53.097971      60.044856
574               52.740067      60.543203
575               54.723384      57.752445
576               40.321867      76.242144
577               64.694117      42.745065
578               37.283380      79.564917
579               32.764347      84.090342
580               43.847664      72.118418
581               31.034827      85.685406
582               36.114197      80.784390
583               35.450287      81.461910
584               35.949659      80.953319
585               41.025717      75.441495
586               55.149852      57.143200
587               37.694533      79.128191
588               36.507097      80.378316
589               34.195798      82.712182
590               41.442423      74.962119
591               34.259227      82.649911
592               37.074095      79.785646
593               41.597850      74.782302
594               59.672260      50.494557
595               36.409547      80.479494
596               33.255135      83.623696
597               48.963238      65.654320
598               47.100476      68.071482
599               28.991770      87.468921
600               31.168651      85.564757
601               55.887802      56.081531
602               83.591178      11.162196
603               31.838063      84.954257
604               46.795768      68.460107
605               41.330228      75.091577
606               44.130604      71.775446
607               51.084428      62.817448
608               38.766182      77.970768
609               34.345435      82.565115
610               33.479449      83.408389
611               24.562487      90.950854
612               51.061965      62.847957
613               29.356939      87.158253
614               34.864470      82.050647
615               60.136884      49.792957
616               31.060962      85.661878
617               33.420578      83.465012
618               34.285080      82.624499
619               38.809054      77.923903
620               32.562702      84.280296
621               57.741576      53.373889
622               49.749859      64.612583
623               35.745487      81.162005
624               49.395950      65.082789
625               34.865904      82.049220
626                9.511261      98.625323
627               33.806052      83.092577
628               40.081400      76.513051
629               54.374286      58.248788
630               38.718723      78.022607
631               47.656223      67.357743
632               59.698766      50.454620
633               35.746995      81.160473
634               48.723468      65.969382
635               58.072558      52.884489
636               59.613080      50.583679
637               33.479264      83.408553
638               37.809406      79.005443
639               63.879299      44.026356
640               21.902786      92.781814
641               46.344087      69.032592
642               47.894883      67.049284
643               39.396342      77.277405
644               46.232453      69.173430
645               35.967962      80.934554
646               61.996240      46.952949
647               43.979890      71.958342
648               19.034945      94.531990
649               43.049456      73.076474
650               44.365317      71.489610
651               50.730871      63.296392
652               42.096332      74.201877
653               45.582885      69.987680
654               59.123656      51.318691
655               41.527694      74.863535
656               25.212212      90.473630
657               41.943502      74.380424
658               46.826570      68.420899
659               30.106504      86.509448
660               35.901983      81.002148
661               30.764638      85.927584
662               57.625243      53.545477
663               38.516872      78.242478
664               43.774782      72.206477
665               52.380489      61.041497
666               34.565648      82.347669
667               37.181765      79.672225
668               29.326838      87.183991
669               21.356413      93.133303
670               49.386490      65.095319
671               33.247293      83.631199
672               33.068906      83.801499
673               42.805068      73.366978
674               48.548237      66.198934
675               44.866290      70.875505
676               31.096038      85.630282
677               58.011492      52.974913
678               33.385182      83.499020
679               60.435077      49.340943
680               37.949813      78.854982
681               45.683555      69.862072
682               30.541266      86.126340
683               34.700019      82.214382
684               34.077578      82.827958
685               32.213946      84.606338
686               23.938300      91.398297
687               41.027543      75.439422
688               55.768019      56.254494
689               39.419764      77.251466
690               46.478967      68.862088
691               44.147444      71.754988
692               42.246106      74.026381
693               28.631881      87.771648
694               39.942225      76.669213
695               44.129564      71.776712
696               56.389981      55.353717
697               40.327207      76.236105
698               46.151351      69.275578
699               36.639860      80.240256
700               47.556508      67.486278
701               44.375973      71.476604
702               60.818970      48.757069
703               31.198187      85.538069
