@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
455               27.978945     -27.768358       0.575820      -3.377588
456               31.700373     -27.382292     -10.986790     -11.593714
457               25.228992     -23.572643      -8.790636      -1.886071
458               22.907286     -20.440359      -4.242782      -9.430499
459               29.125250     -26.824633     -10.959883       2.932613
460               25.283619     -25.247435      -0.700925      -1.156337
461               25.403696     -23.977678      -1.502846      -8.255919
462               30.804344     -29.112129      -9.593919      -3.057491
463               26.307343     -25.682953      -3.534114       4.469021
464               28.894447     -26.486897      -8.534820      -7.777548
465               20.012938     -17.214457      -9.032077      -4.754123
466               36.652847     -29.909500     -15.054561     -14.906816
467               26.327412     -16.917591      -4.396974     -19.687416
468               28.432337     -17.973343     -10.119236     -19.569309
469               21.197077     -19.669031      -2.253134      -7.574209
470               24.988764     -24.715137      -2.719089      -2.491349
471               28.345207     -27.465698       3.476408      -6.082833
472               17.971512     -16.078255      -4.001902      -6.960584
473               23.948601     -22.716562      -4.119634      -6.365683
474               29.050667     -25.727961      -9.839467      -9.230284
475               21.382046     -20.652004      -4.917304      -2.550826
476               33.338284     -29.950132     -12.467812      -7.680123
477               38.366531     -35.015472      -7.381629     -13.835426
478               29.190060     -28.025816      -7.919956      -1.971694
479               27.531055     -26.024160      -7.532280      -4.895599
480               33.338066     -32.743778      -2.259229      -5.845300
481               31.814011     -30.581692      -6.679316      -5.681377
482               31.134686     -29.992668      -4.784230      -6.849790
483               38.437027     -37.028240      -3.556543      -9.678089
484               29.112123     -24.426353      -7.153165     -14.131570
485               33.213604     -27.812687     -15.802375       8.937721
486               26.622425     -23.534895     -11.891472      -3.668119
487               37.787922     -37.616009      -3.596334      -0.171055
488               32.162693     -31.020321      -8.280132      -1.902061
489               43.934574     -40.863426     -16.024214      -1.911008
490               27.202049     -26.930279      -2.989817      -2.402606
491               39.218250     -37.895496      -3.421043       9.502577
492               30.955395     -22.163263     -15.655715      14.897141
493               27.489315     -24.270947     -12.279637       3.974185
494               25.820185     -22.173117      -9.956766      -8.711926
495               25.041775     -21.521528      -0.957475     -12.767049
496               24.124495     -22.822603      -7.208799       3.025439
497               30.774927     -29.654453      -6.241858      -5.361791
498               27.320030     -27.207743       2.471897       0.111899
499               30.694668     -24.841450     -12.807611     -12.689763
500               33.939751     -31.307890       1.547700     -13.012583
501               18.652771     -16.701700       1.263238      -8.208735
502               22.431868     -20.454624      -8.292363      -4.004212
503               31.023674     -29.380196       5.179948      -8.511203
504               25.949026     -24.304531      -7.260744      -5.470229
505               25.328716     -23.232370      -2.785826      -9.697425
506               23.503281     -20.331257     -11.728331      -1.220818
507               23.293245     -18.451284      -6.116253     -12.834206
508               29.494450     -27.555929      -9.973822      -3.334103
509               40.803932     -40.470901      -4.130446       3.163305
510               27.408558     -24.245523      -7.565886     -10.302479
511               27.236614     -27.093840       2.483753      -1.260171
512               32.099976     -29.167139     -13.384004       0.744977
513               37.473675     -35.138638      -7.058621      10.942049
514               30.944199     -25.761288     -15.719254      -6.841384
515               29.461040     -29.269522       0.375956      -3.332658
516               19.556534     -19.398144      -2.301242      -0.935061
517               30.644001     -24.946293      -7.820194     -15.986925
518               27.273680     -26.398918      -3.755010      -5.731550
519               24.754110     -22.825981      -9.141352      -2.859416
520               22.049385     -21.018658      -4.926182      -4.485999
521               19.439615     -15.399280      -4.122171     -11.125131
522               26.940918     -22.382599     -11.048555     -10.137147
523               27.495855     -23.204235     -11.051583      -9.769752
524               18.482944     -13.758083      -0.786429     -12.317302
525               25.485884     -24.738163      -4.492179      -4.168202
526               25.279747     -23.836231      -7.159603       4.431683
527               25.569700     -21.020010     -11.260292      -9.229006
528               25.680830     -16.505375       9.343824     -17.313883
529               31.362614     -26.528986     -11.026751     -12.579235
530               26.471176     -22.200638       3.786725     -13.910985
531               25.409489     -22.505253      -8.930497      -7.707266
532               36.083664     -32.703201     -12.845046      -8.218040
533               19.097563     -15.975589     -10.080011       2.809065
534               35.744888     -27.088980     -13.647701     -18.910963
535               27.289410     -22.087507      -3.081401     -15.727647
536               30.040203     -23.621151     -13.012747     -13.233421
537               27.172113     -24.781792       9.417373      -5.958164
538               27.244595     -22.998661      -7.274544     -12.665326
539               33.390949     -32.797249      -2.154500       5.886767
540               28.973372     -27.182489      -2.788625      -9.632868
541               20.005075     -16.041815      -6.715167      -9.887858
542               23.225084      -8.553967      -8.195196     -19.976810
543               29.638453     -28.029692      -2.137183      -9.391842
544               28.202726     -23.727608      -3.150858     -14.915311
545               28.810162     -26.884138       4.112569      -9.505541
546               22.327770     -19.763147      -0.916552     -10.349264
547               27.412125     -18.153013      -6.505126     -19.482710
